"noise","arm","depth","rmse_mean","rmse_sd","bias_mean","pmm2_frac"
"Gaussian","Huber",1,0.226,0.008,0.0132,NA
"Gaussian","Huber",2,0.123,0.054,0.0092,NA
"Gaussian","Huber",3,0.132,0.074,0.0066,NA
"Gaussian","Huber",4,0.184,0.218,0.0053,NA
"Gaussian","L1",1,0.228,0.011,0.0099,NA
"Gaussian","L1",2,0.134,0.049,0.0067,NA
"Gaussian","L1",3,0.139,0.06,0.0051,NA
"Gaussian","L1",4,0.297,0.724,0.0136,NA
"Gaussian","LSE",1,0.227,0.008,0.02,NA
"Gaussian","LSE",2,0.114,0.04,0.0062,NA
"Gaussian","LSE",3,0.115,0.042,0.0064,NA
"Gaussian","LSE",4,0.238,0.34,0.0096,NA
"Gaussian","PMM",1,0.226,0.008,0.0082,1
"Gaussian","PMM",2,0.118,0.05,0.0016,1
"Gaussian","PMM",3,0.12,0.053,-3e-04,1
"Gaussian","PMM",4,0.144,0.08,-1e-04,NA
"Gaussian","ridge-LSE",1,0.227,0.008,0.0175,NA
"Gaussian","ridge-LSE",2,0.116,0.041,0.0104,NA
"Gaussian","ridge-LSE",3,0.117,0.041,0.0103,NA
"Gaussian","ridge-LSE",4,0.183,0.254,0.0146,NA
"Skew","Huber",1,0.23,0.007,-0.1178,NA
"Skew","Huber",2,0.113,0.028,-0.1494,NA
"Skew","Huber",3,0.114,0.031,-0.1484,NA
"Skew","Huber",4,0.137,0.069,-0.1481,NA
"Skew","L1",1,0.25,0.01,-0.2395,NA
"Skew","L1",2,0.172,0.031,-0.2728,NA
"Skew","L1",3,0.172,0.031,-0.2673,NA
"Skew","L1",4,0.208,0.165,-0.2626,NA
"Skew","LSE",1,0.226,0.006,-0.0077,NA
"Skew","LSE",2,0.121,0.05,-0.0086,NA
"Skew","LSE",3,0.135,0.097,-0.01,NA
"Skew","LSE",4,0.271,0.397,-0.0106,NA
"Skew","PMM",1,0.225,0.006,0.0014,1
"Skew","PMM",2,0.112,0.037,-0.0035,1
"Skew","PMM",3,0.113,0.038,-0.0024,1
"Skew","PMM",4,0.131,0.064,-0.0017,1
"Skew","ridge-LSE",1,0.228,0.006,2e-04,NA
"Skew","ridge-LSE",2,0.125,0.047,6e-04,NA
"Skew","ridge-LSE",3,0.128,0.052,0.0021,NA
"Skew","ridge-LSE",4,0.393,1.288,0.019,NA
