"scenario","method","ci_type","coef_coverage","joint_coverage","mean_width","theta_rmse","boot_ok"
"exp","Huber","bootstrap-normal",0.797,0.083,0.137,0.082,1
"exp","Huber","bootstrap-percentile",0.769,0.033,0.13,0.082,1
"exp","L1","bootstrap-normal",0.789,0,0.179,0.139,1
"exp","L1","bootstrap-percentile",0.789,0,0.169,0.139,1
"exp","LSE","bootstrap-normal",0.928,0.617,0.168,0.044,1
"exp","LSE","bootstrap-percentile",0.886,0.467,0.16,0.044,1
"exp","LSE","classical-normal",0.928,0.617,0.171,0.044,NA
"exp","PMM","bootstrap-normal",0.958,0.783,0.745,0.034,1
"exp","PMM","bootstrap-percentile",0.939,0.717,0.125,0.034,1
"uniform","Huber","bootstrap-normal",0.95,0.767,0.181,0.046,1
"uniform","Huber","bootstrap-percentile",0.922,0.633,0.172,0.046,1
"uniform","L1","bootstrap-normal",0.956,0.783,0.294,0.071,1
"uniform","L1","bootstrap-percentile",0.956,0.8,0.279,0.071,1
"uniform","LSE","bootstrap-normal",0.956,0.767,0.172,0.044,1
"uniform","LSE","bootstrap-percentile",0.931,0.667,0.163,0.044,1
"uniform","LSE","classical-normal",0.961,0.833,0.173,0.044,NA
"uniform","PMM","bootstrap-normal",0.953,0.767,0.109,0.027,1
"uniform","PMM","bootstrap-percentile",0.947,0.767,0.104,0.027,1
