"criterion","estimator","nrmse_mean","mae_mean","bias_mean","reserve_error_mean","abs_reserve_error_mean","tail_reserve_error_mean","abs_tail_reserve_error_mean","nrmse_win_rate","reserve_win_rate","tail_reserve_win_rate","pmm2_share"
"MSE","Huber",1.004,2418.2,-1904.8,-0.613,0.613,-0.94,0.94,0.2,0,0,0
"MSE","L1",1.004,2401.7,-1892.9,-0.609,0.609,-0.941,0.941,0.2,0,0,0
"MSE","PMM-relaxed",1.13,3733.1,-241.2,-0.049,0.236,-0.845,0.845,0.4,0.7,0.6,0.05
"MSE","LSE",1.217,3808.6,-299.2,-0.075,0.228,-0.852,0.852,0.4,0.5,0.6,0
"MSE","PMM-auto",1.252,3865.2,-318.9,-0.082,0.222,-0.854,0.854,0.4,0.6,0.5,0.05
"Reserve","Huber",1.004,2419.4,-1901.6,-0.612,0.612,-0.939,0.939,0.4,0,0,0
"Reserve","L1",1.004,2407,-1878,-0.604,0.604,-0.94,0.94,0,0,0,0
"Reserve","PMM-relaxed",1.07,3763.6,-202.1,-0.033,0.254,-0.85,0.85,0.6,0.5,0.4,0.067
"Reserve","PMM-auto",1.088,3817,-180.5,-0.025,0.261,-0.831,0.831,0.6,0.4,0.5,0.067
"Reserve","LSE",1.098,3818.1,-152.7,-0.016,0.257,-0.83,0.83,0,0.7,0.8,0
"TailReserve","Huber",1.004,2419.3,-1901.6,-0.612,0.612,-0.939,0.939,0.2,0,0,0
"TailReserve","L1",1.004,2417.4,-1871.2,-0.602,0.602,-0.94,0.94,0.1,0,0,0
"TailReserve","LSE",1.045,3775.8,-201.9,-0.034,0.25,-0.831,0.831,0.4,0.8,0.7,0
"TailReserve","PMM-auto",1.045,3742.9,-220.5,-0.04,0.251,-0.828,0.828,0.4,0.4,0.7,0.094
"TailReserve","PMM-relaxed",1.048,3727.8,-223.7,-0.041,0.25,-0.831,0.831,0.4,0.5,0.6,0.094
