"method","emission_decile","n","observed_sum","predicted_sum","reserve_error","observed_mean","predicted_mean"
"PMM",1,738,825.00242,682.13186768575,-0.173175919064879,1.11788945799458,0.924297923693428
"PMM",2,738,1155.7488,744.250229610647,-0.356044990390086,1.56605528455285,1.00846914581388
"PMM",3,739,1333.8349,840.708277049488,-0.369705893098547,1.80491867388363,1.13762960358523
"PMM",4,738,1491.2963,941.848820795223,-0.368436157995414,2.02072669376694,1.27621791435667
"PMM",5,739,1723.7011,978.289127239979,-0.432448510220258,2.33247780784844,1.32380125472257
"PMM",6,738,2022.7666,1013.97406279821,-0.498719198350315,2.74087615176152,1.37394859457752
"PMM",7,738,2371.0939,1338.72826920532,-0.435396350517658,3.21286436314363,1.81399494472265
"PMM",8,739,2748.9145,1794.6406514001,-0.347145700093584,3.71977604871448,2.42847178809215
"PMM",9,738,3417.6132,2698.93060327097,-0.21028786895165,4.63091219512195,3.65708753830754
"PMM",10,739,6021.8415,4283.61572615615,-0.288653524647543,8.1486353179973,5.79650301238992
"LSE",1,738,825.00242,654.420665900856,-0.206765156033293,1.11788945799458,0.886748869784357
"LSE",2,738,1155.7488,717.419509716782,-0.379260000341958,1.56605528455285,0.972113156797807
"LSE",3,739,1333.8349,792.880175996763,-0.405563480160277,1.80491867388363,1.07290957509711
"LSE",4,738,1491.2963,899.243493750111,-0.397005481908517,2.02072669376694,1.21848711890259
"LSE",5,739,1723.7011,951.340986753892,-0.44808239273393,2.33247780784844,1.28733557070892
"LSE",6,738,2022.7666,1144.18748852738,-0.434345273188027,2.74087615176152,1.55038955085011
"LSE",7,738,2371.0939,1338.1549215796,-0.43563815773825,3.21286436314363,1.81321805092086
"LSE",8,739,2748.9145,1809.94344455715,-0.341578850649177,3.71977604871448,2.44917922132225
"LSE",9,738,3417.6132,2858.49312452382,-0.163599577470083,4.63091219512195,3.87329691669895
"LSE",10,739,6021.8415,4688.40121763209,-0.221433972044584,8.1486353179973,6.34425063279037
"ridge-LSE",1,738,825.00242,654.420665903785,-0.206765156029742,1.11788945799458,0.886748869788326
"ridge-LSE",2,738,1155.7488,717.419509718812,-0.379260000340202,1.56605528455285,0.972113156800558
"ridge-LSE",3,739,1333.8349,792.880175998225,-0.405563480159181,1.80491867388363,1.07290957509909
"ridge-LSE",4,738,1491.2963,899.243493750918,-0.397005481907975,2.02072669376694,1.21848711890368
"ridge-LSE",5,739,1723.7011,951.340986754605,-0.448082392733517,2.33247780784844,1.28733557070988
"ridge-LSE",6,738,2022.7666,1144.18748852807,-0.434345273187685,2.74087615176152,1.55038955085105
"ridge-LSE",7,738,2371.0939,1338.15492158914,-0.435638157734226,3.21286436314363,1.81321805093379
"ridge-LSE",8,739,2748.9145,1809.94344457979,-0.34157885064094,3.71977604871448,2.4491792213529
"ridge-LSE",9,738,3417.6132,2858.49312458063,-0.163599577453461,4.63091219512195,3.87329691677593
"ridge-LSE",10,739,6021.8415,4688.40121795318,-0.221433971991263,8.1486353179973,6.34425063322487
"Huber",1,738,825.00242,781.89297843546,-0.052253715285514,1.11788945799458,1.05947558053585
"Huber",2,738,1155.7488,837.084874959411,-0.275720749215218,1.56605528455285,1.13426134818348
"Huber",3,739,1333.8349,886.777518721368,-0.335166954529852,1.80491867388363,1.19996957878399
"Huber",4,738,1491.2963,944.135051518405,-0.366903108712597,2.02072669376694,1.27931578796532
"Huber",5,739,1723.7011,959.498080739154,-0.443350079234065,2.33247780784844,1.29837358692714
"Huber",6,738,2022.7666,1009.36985878835,-0.500995389785283,2.74087615176152,1.36770983575657
"Huber",7,738,2371.0939,1258.35694002144,-0.469292658539823,3.21286436314363,1.7050907046361
"Huber",8,739,2748.9145,1674.06077798029,-0.391010241322423,3.71977604871448,2.26530551824127
"Huber",9,738,3417.6132,2604.1479512995,-0.238021449794405,4.63091219512195,3.52865576056844
"Huber",10,739,6021.8415,4364.69897625386,-0.275188665086277,8.1486353179973,5.90622324256272
"L1",1,738,825.00242,866.003592590041,0.049698245236713,1.11788945799458,1.17344660242553
"L1",2,738,1155.7488,902.069724947213,-0.219493262768507,1.56605528455285,1.22231670047048
"L1",3,739,1333.8349,940.211346672143,-0.295106653250605,1.80491867388363,1.27227516464431
"L1",4,738,1491.2963,996.591344373763,-0.331728145256068,2.02072669376694,1.3503947755742
"L1",5,739,1723.7011,1028.57610564319,-0.403274671204197,2.33247780784844,1.39184858679727
"L1",6,738,2022.7666,1096.39316036955,-0.457973470409512,2.74087615176152,1.48562758857662
"L1",7,738,2371.0939,1325.56912638804,-0.440946169872041,3.21286436314363,1.79616412789707
"L1",8,739,2748.9145,1751.71571794215,-0.362760930562899,3.71977604871448,2.37038662779723
"L1",9,738,3417.6132,2789.55727845275,-0.183770334673113,4.63091219512195,3.7798879111826
"L1",10,739,6021.8415,5180.48524146002,-0.139717436691082,8.1486353179973,7.01012887883629
